500
983.973024ms 431.556519ms
968.540168ms 393.552368ms
978.663895ms 389.600724ms
974.687158ms 390.104217ms
966.849737ms 392.446998ms
978.761175ms 392.638204ms
970.912185ms 387.658724ms
987.139464ms 409.746882ms
992.348526ms 398.249571ms
982.967153ms 409.177456ms
991.446933ms 398.273348ms

1000
1.857659196s 401.147108ms
1.855290562s 387.996388ms
1.880681041s 407.787687ms
1.960017437s 401.814678ms
1.888593724s 408.821125ms
2.048463597s 437.12244ms
1.918047391s 401.010369ms
1.953553675s 429.510547ms
2.052093742s 411.048919ms
2.246402605s 512.446755ms
2.520853162s 512.644558ms

1500
3.976170862s 539.085075ms
3.257937047s 403.687861ms
2.966529692s 417.843517ms
2.799156428s 403.583148ms
2.789038975s 416.084932ms
2.915881326s 394.402929ms
2.698812366s 397.653421ms
2.819564586s 402.72477ms
2.696088347s 386.80824ms
2.711485464s 399.088372ms
2.950691343s 432.100727ms

2000
4.045108104s 461.520346ms
3.76906016s 408.21534ms
3.466106195s 403.445739ms
3.528059544s 403.928808ms
3.498399823s 408.042176ms
3.624836437s 422.738797ms
3.639466162s 427.058876ms
3.688742722s 423.954076ms
3.633028284s 423.079652ms
3.68436703s 427.111407ms
3.730725415s 434.334745ms

2500
4.511154485s 407.185892ms
4.478091423s 422.925303ms
4.713092843s 441.979649ms
4.727134882s 436.993239ms
4.575450194s 409.215352ms
4.529908235s 423.666123ms
4.508870407s 414.631161ms
4.517603086s 404.330947ms
4.713047894s 518.999125ms
7.017483304s 538.173282ms
5.947064306s 512.944495ms

3000
7.291239449s 543.625435ms
7.100848712s 547.562071ms
6.916636118s 542.859462ms
6.251535065s 463.458852ms
5.985653485s 484.470833ms
6.910105435s 544.506149ms
6.208506193s 466.424042ms
7.026531461s 534.507649ms
6.523174991s 498.7639ms
8.677785894s 724.493529ms
9.281384395s 739.51508ms

3500
10.197749351s 600.536419ms
9.92478622s 562.082196ms
8.247838099s 515.211815ms
7.342010453s 509.365641ms
7.58465356s 476.986556ms
7.567340748s 485.133723ms
7.59723949s 492.071867ms
7.79165069s 556.797029ms
9.559759959s 723.809699ms
10.776897953s 635.860919ms
9.237163956s 571.51083ms

4000
9.543312477s 554.008795ms
10.067525253s 523.799426ms
8.769980699s 489.783326ms
11.960415851s 766.840724ms
11.306829542s 617.293684ms
11.444055399s 701.061503ms
10.981523824s 565.193215ms
9.439883256s 527.687743ms
9.3444218s 567.1307ms
9.592928217s 554.563079ms
9.089326799s 514.826117ms

4500
10.175202631s 545.747548ms
11.278333055s 591.330499ms
11.030131726s 543.59537ms
10.620339996s 546.953719ms
10.403123118s 525.036668ms
10.374151895s 537.044553ms
10.211065156s 549.531758ms
10.333928898s 531.2421ms
10.484669285s 527.310089ms
10.562286937s 550.406132ms
10.28111826s 513.579556ms

5000
11.453039445s 544.47344ms
11.762361554s 533.641827ms
11.286425964s 484.20988ms
10.770619891s 507.480542ms
10.964998814s 531.894643ms
11.29021036s 503.156697ms
10.858997763s 494.133065ms
11.152049744s 497.380398ms
11.238753561s 497.980021ms
10.984171651s 514.795565ms
11.276333969s 503.732014ms

5500
12.692914978s 561.020094ms
13.019614389s 520.536922ms
12.706614322s 509.114176ms
12.386270273s 518.213898ms
12.300760616s 503.41144ms
12.180402111s 500.20965ms
12.147665234s 539.587437ms
12.434429057s 516.723698ms
12.006483537s 497.522925ms
12.98461889s 536.190449ms
13.178128746s 548.552424ms

6000
14.304487413s 546.66847ms
13.885812179s 528.922253ms
13.276194567s 492.795544ms
14.273773252s 559.904805ms
13.691104242s 506.338563ms
16.407946052s 590.708282ms
15.190868665s 633.058634ms
17.34555396s 575.614015ms
15.478139938s 558.021595ms
13.120373975s 484.218996ms
13.306003186s 522.632334ms

6500
15.106510495s 548.35898ms
14.967035564s 530.962114ms
14.553934974s 486.089522ms
15.198860848s 571.287895ms
15.957999305s 553.287289ms
14.76162201s 528.384525ms
14.558021108s 517.855146ms
14.958891975s 548.132372ms
14.704075973s 515.087845ms
14.408092074s 511.418495ms
14.902695559s 514.966011ms

7000
16.364782641s 537.715772ms
16.732833594s 524.036467ms
16.052828612s 547.359405ms
15.631294147s 507.575421ms
16.098749137s 501.647086ms
15.90556043s 518.356316ms
15.701352363s 507.575261ms
16.464654693s 570.958237ms
17.045106532s 540.181724ms
16.757114161s 537.48202ms
18.663933359s 496.374717ms

7500
15.836826506s 482.901103ms
15.998115847s 442.258063ms
15.122462831s 568.799461ms
19.829124455s 546.762263ms
18.029585356s 517.640064ms
17.252666323s 794.928319ms
18.82399111s 601.406453ms
20.180621844s 572.610866ms
20.66521797s 674.512571ms
22.936573851s 748.650576ms
21.311966925s 536.179846ms

8000
22.938328469s 641.994961ms
21.901331239s 585.381664ms
19.85564728s 532.487546ms
18.826294536s 547.281848ms
19.559726946s 563.608751ms
23.480992136s 593.633041ms
19.76745891s 556.284446ms
20.482429042s 564.757341ms
17.399957569s 461.009215ms
16.443694166s 447.796507ms
16.315480334s 450.169684ms

8500
16.436051975s 455.240521ms
16.78813964s 418.496365ms
16.359899481s 448.612408ms
18.228688772s 581.710879ms
23.65371458s 589.279918ms
20.319233557s 524.379356ms
20.417088367s 507.759738ms
21.069262235s 471.235405ms
21.79315532s 767.030228ms
20.721464442s 502.466104ms
26.174835933s 779.87241ms

9000
28.581695789s 496.806266ms
23.951651856s 532.69104ms
22.193234646s 463.653929ms
18.367269858s 495.925211ms
20.743363227s 535.531806ms
21.714423798s 569.045355ms
21.722702463s 528.342858ms
20.714371528s 537.309106ms
20.515611606s 525.956872ms
20.518020818s 507.671404ms
20.607123544s 536.903984ms

9500
23.695949182s 522.062543ms
22.562783158s 529.600301ms
21.697630335s 503.117059ms
22.264463406s 529.035477ms
22.590169543s 520.667199ms
22.731783972s 535.367213ms
21.742298336s 483.827892ms
21.221793787s 525.627394ms
22.167052086s 520.920562ms
22.235543713s 525.65222ms
21.97571007s 522.152829ms

10000
23.650148339s 528.669768ms
22.946834979s 510.139599ms
25.740528605s 582.329194ms
25.65540987s 566.258709ms
22.857366686s 416.289488ms
19.434392734s 436.990015ms
18.9759368s 481.951528ms
23.346621625s 519.742124ms
23.088547247s 495.128017ms
27.777330472s 774.380103ms
27.139456924s 533.684747ms

10500
19.267918385s 374.99949ms
18.15155727s 369.856658ms
17.958471602s 366.414376ms
17.951646407s 364.533416ms
17.947481447s 365.613285ms
17.911871398s 366.385639ms
17.972144918s 370.389723ms
17.874188921s 365.558434ms
17.975450166s 369.804576ms
18.393527932s 381.133611ms
18.000420771s 366.140156ms

11000
19.762116393s 374.446303ms
18.969223192s 371.82359ms
18.90461262s 368.511921ms
23.742056489s 374.203491ms
23.304754283s 379.021636ms
19.618721731s 366.355685ms
19.078051901s 368.566143ms
19.193533275s 370.209233ms
19.18823852s 369.886398ms
19.212329918s 369.808476ms
19.729668556s 369.320822ms

11500
20.97779517s 381.564875ms
20.091231278s 371.553572ms
26.52501437s 660.787185ms
27.214767901s 389.855968ms
20.359920753s 373.434259ms
20.755832249s 382.402273ms
20.581359266s 379.698775ms
20.402567153s 383.066549ms
20.472203124s 385.992961ms
20.616386709s 388.156637ms
20.694105576s 397.259151ms

12000
21.386331427s 379.50977ms
21.939429471s 386.124001ms
21.520678387s 387.238861ms
21.242672761s 383.276608ms
21.171828482s 383.601101ms
21.556426478s 386.8926ms
21.185064048s 380.285296ms
21.269656981s 390.121748ms
21.366594016s 410.05556ms
